"worker_id","day","n_messages","avg_n_words"
"024BA05D98644A2CBD8ECEF3FF884E4A",1,31,8.2580645161290323
"024BA05D98644A2CBD8ECEF3FF884E4A",2,25,8.0400000000000000
"024BA05D98644A2CBD8ECEF3FF884E4A",3,24,10.3750000000000000
"024BA05D98644A2CBD8ECEF3FF884E4A",4,16,9.9375000000000000
"024BA05D98644A2CBD8ECEF3FF884E4A",5,18,13.3333333333333333
"024BA05D98644A2CBD8ECEF3FF884E4A",6,27,6.2222222222222222
"024BA05D98644A2CBD8ECEF3FF884E4A",7,28,5.8928571428571429
"025215C368C44B6293EC0867AF952F12",1,32,11.4375000000000000
"025215C368C44B6293EC0867AF952F12",2,20,16.2500000000000000
"03A735991860471385278713ADB0DAEB",1,26,7.5384615384615385
"03A735991860471385278713ADB0DAEB",2,15,10.7333333333333333
"03A735991860471385278713ADB0DAEB",3,22,9.5000000000000000
"03A735991860471385278713ADB0DAEB",4,25,6.7600000000000000
"03A735991860471385278713ADB0DAEB",5,19,11.3157894736842105
"03A735991860471385278713ADB0DAEB",6,22,10.8181818181818182
"03A735991860471385278713ADB0DAEB",7,27,8.2222222222222222
"04BA8334EAC24523ACDDB56653A2CFA9",1,20,12.6000000000000000
"04BA8334EAC24523ACDDB56653A2CFA9",2,22,13.9545454545454545
"04BA8334EAC24523ACDDB56653A2CFA9",3,16,14.8125000000000000
"04BA8334EAC24523ACDDB56653A2CFA9",4,30,7.0666666666666667
"04BA8334EAC24523ACDDB56653A2CFA9",5,31,8.4193548387096774
"04BA8334EAC24523ACDDB56653A2CFA9",6,18,7.8888888888888889
"050DDA97A62049C2BD952AA4530B4232",1,15,25.3333333333333333
"050DDA97A62049C2BD952AA4530B4232",2,11,30.8181818181818182
"050DDA97A62049C2BD952AA4530B4232",3,6,45.1666666666666667
"050DDA97A62049C2BD952AA4530B4232",4,11,26.5454545454545455
"050DDA97A62049C2BD952AA4530B4232",5,7,39.0000000000000000
"050DDA97A62049C2BD952AA4530B4232",6,7,38.8571428571428571
"050DDA97A62049C2BD952AA4530B4232",7,7,16.4285714285714286
"059820B13C8448FAB48D22A17DA49042",1,37,7.3783783783783784
"059820B13C8448FAB48D22A17DA49042",2,25,10.0000000000000000
"059820B13C8448FAB48D22A17DA49042",3,28,9.8571428571428571
"059820B13C8448FAB48D22A17DA49042",4,22,5.7272727272727273
"059820B13C8448FAB48D22A17DA49042",5,19,7.0526315789473684
"059820B13C8448FAB48D22A17DA49042",6,24,6.4583333333333333
"059820B13C8448FAB48D22A17DA49042",7,17,9.0588235294117647
"076C84CD834A4EC3A5D6ECE1E4C5EFB1",1,12,21.6666666666666667
"076C84CD834A4EC3A5D6ECE1E4C5EFB1",2,11,24.6363636363636364
"076C84CD834A4EC3A5D6ECE1E4C5EFB1",3,8,34.7500000000000000
"076C84CD834A4EC3A5D6ECE1E4C5EFB1",4,6,35.8333333333333333
"076C84CD834A4EC3A5D6ECE1E4C5EFB1",5,4,66.2500000000000000
"076C84CD834A4EC3A5D6ECE1E4C5EFB1",6,5,49.4000000000000000
"076C84CD834A4EC3A5D6ECE1E4C5EFB1",7,6,46.6666666666666667
"0830BA03876848F1B1BA6DC81CFA3B08",1,24,18.3333333333333333
"0830BA03876848F1B1BA6DC81CFA3B08",2,17,19.4117647058823529
"0830BA03876848F1B1BA6DC81CFA3B08",3,13,34.6923076923076923
"0830BA03876848F1B1BA6DC81CFA3B08",4,19,16.1578947368421053
"0830BA03876848F1B1BA6DC81CFA3B08",5,14,22.5714285714285714
"0830BA03876848F1B1BA6DC81CFA3B08",6,14,23.7142857142857143
"0830BA03876848F1B1BA6DC81CFA3B08",7,11,25.3636363636363636
"09228F2CD6294CF1AEA7171816AABA1F",1,27,7.3333333333333333
"09228F2CD6294CF1AEA7171816AABA1F",2,14,4.7142857142857143
"09228F2CD6294CF1AEA7171816AABA1F",3,10,6.3000000000000000
"09228F2CD6294CF1AEA7171816AABA1F",4,12,7.4166666666666667
"09228F2CD6294CF1AEA7171816AABA1F",5,16,8.6875000000000000
"09228F2CD6294CF1AEA7171816AABA1F",6,14,4.1428571428571429
"09228F2CD6294CF1AEA7171816AABA1F",7,17,6.9411764705882353
"09EFBDA9CEE54220897289B04F25FCB1",1,24,10.9583333333333333
"09EFBDA9CEE54220897289B04F25FCB1",2,22,6.5000000000000000
"09EFBDA9CEE54220897289B04F25FCB1",3,18,6.3888888888888889
"09EFBDA9CEE54220897289B04F25FCB1",4,14,7.7142857142857143
"09EFBDA9CEE54220897289B04F25FCB1",5,22,6.7272727272727273
"09EFBDA9CEE54220897289B04F25FCB1",6,17,12.0000000000000000
"09EFBDA9CEE54220897289B04F25FCB1",7,17,5.5882352941176471
"0C1A19C5DE684082B681CE0A87754925",1,20,21.6500000000000000
"0C1A19C5DE684082B681CE0A87754925",2,16,29.3750000000000000
"0C1A19C5DE684082B681CE0A87754925",3,13,33.2307692307692308
"0C1A19C5DE684082B681CE0A87754925",4,9,38.3333333333333333
"0C1A19C5DE684082B681CE0A87754925",5,12,30.7500000000000000
"0C8DAAF0BDE74D6482EC557F33586F18",1,12,17.5000000000000000
"0C8DAAF0BDE74D6482EC557F33586F18",2,8,69.7500000000000000
"0C8DAAF0BDE74D6482EC557F33586F18",3,5,81.6000000000000000
"0C8DAAF0BDE74D6482EC557F33586F18",4,4,38.0000000000000000
"0C8DAAF0BDE74D6482EC557F33586F18",5,7,45.8571428571428571
"0C8DAAF0BDE74D6482EC557F33586F18",6,4,102.2500000000000000
"0C8DAAF0BDE74D6482EC557F33586F18",7,6,52.5000000000000000
"0D3DD60A2B244AF0B39E18E8148FF800",1,23,8.6086956521739130
"0D7E358BFF384C8EB131A4BE14C08036",1,30,10.0333333333333333
"0D7E358BFF384C8EB131A4BE14C08036",2,11,31.8181818181818182
"0D7E358BFF384C8EB131A4BE14C08036",3,19,17.7894736842105263
"0D7E358BFF384C8EB131A4BE14C08036",4,17,24.2352941176470588
"0D7E358BFF384C8EB131A4BE14C08036",5,15,22.3333333333333333
"0D7E358BFF384C8EB131A4BE14C08036",6,14,22.0714285714285714
"0D7E358BFF384C8EB131A4BE14C08036",7,14,21.6428571428571429
"0E80AA2748AF4B138DE9EDCF16FF5876",1,32,4.0625000000000000
"0EE9C57921A1405EBF309B4A0F5784F9",1,11,3.2727272727272727
"0EE9C57921A1405EBF309B4A0F5784F9",2,8,3.6250000000000000
"0EE9C57921A1405EBF309B4A0F5784F9",3,11,3.7272727272727273
"0EE9C57921A1405EBF309B4A0F5784F9",4,13,4.6923076923076923
"0EE9C57921A1405EBF309B4A0F5784F9",5,27,6.6666666666666667
"0EE9C57921A1405EBF309B4A0F5784F9",6,12,5.5000000000000000
"0EE9C57921A1405EBF309B4A0F5784F9",7,16,6.7500000000000000
"10B35CEA3EB94AACA6A8E180404CD781",1,19,17.4736842105263158
"10B35CEA3EB94AACA6A8E180404CD781",2,17,21.5882352941176471
"10B35CEA3EB94AACA6A8E180404CD781",3,29,10.3448275862068966
"10B35CEA3EB94AACA6A8E180404CD781",4,28,6.8571428571428571
"10B35CEA3EB94AACA6A8E180404CD781",5,29,9.3103448275862069
"10B35CEA3EB94AACA6A8E180404CD781",6,21,9.0476190476190476
"10B35CEA3EB94AACA6A8E180404CD781",7,24,11.7083333333333333
"10CE2C83A0484DB6932BDA88A68CFBE6",1,19,21.6842105263157895
"10CE2C83A0484DB6932BDA88A68CFBE6",2,19,19.4210526315789474
"10CE2C83A0484DB6932BDA88A68CFBE6",3,17,18.0588235294117647
